year,parent_entity,parent_type,reporting_entity,commodity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,own_fuel_use_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,fugitive_methane_emissions_MtCH4,total_operational_emissions_MtCO2e,total_emissions_MtCO2e,source
2012,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,1959.136813,Bcf/yr,104.68402668163876,0.1816858280836917,2.9870252292265427,5.994666511931661,28.95484282094784,1.0341015293195657,38.118220390189734,142.80224707182848,"Abu Dhabi Emirate (2016) Energy & Water in Figures, www.scad.ae, Nov.2. Natural Gas Statistics."
2013,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,1934.149146,Bcf/yr,103.3488419300775,0.179368529495533,2.9489274347013006,5.918207976936944,28.58554039875544,1.0209121570984083,37.63204433988922,140.98088626996673,"Abu Dhabi Emirate (2016) Energy & Water in Figures, www.scad.ae, Nov.2. Natural Gas Statistics."
2014,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,1964.320589,Bcf/yr,104.96101527247876,0.1821665595103643,2.9949287455057085,6.010528093515118,29.031455857006897,1.0368377091788177,38.21907925553809,143.18009452801684,"Abu Dhabi Emirate (2016) Energy & Water in Figures, www.scad.ae, Nov.2. Natural Gas Statistics."
2015,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,1918.427996,Bcf/yr,102.508801931265,0.177910586315034,2.9249579643861843,5.870103602189505,28.353191425373897,1.0126139794776392,37.32616357826463,139.8349655095296,"Abu Dhabi Emirate (2016) Energy & Water in Figures, www.scad.ae, Nov.2. Natural Gas Statistics."
2016,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,1965.869177,Bcf/yr,105.04376213652375,0.1823101719887137,2.9972898217689807,6.015266541878081,29.05434303968698,1.0376551085602492,38.24920957532276,143.29297171184652,"ADNOC natural gas production is not available for 2016 or 2017 from any known source ,including OGJ, OPEC. EIA. CAI assumes that growth in gas production parallels planned growth in crude oil production (which, by the way, excludes condensate production, a large component of ADNOC's liquids production. Forty percent of gas production is assumed to be reinjected."
2017,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2129.691609,Bcf/yr,113.79740901240376,0.1975026863752035,3.24706397447245,6.516538755486168,31.475538301615536,1.1241263679148403,41.43664371794936,155.2340527303531,"ADNOC natural gas production is not available for 2016 or 2017 from any known source ,including OGJ, OPEC. EIA. CAI assumes that growth in gas production parallels planned growth in crude oil production (which, by the way, excludes condensate production, a large component of ADNOC's liquids production. Forty percent of gas production is assumed to be reinjected."
2018,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2510.134941,Bcf/yr,134.12592290365873,0.2327841232583655,3.8271121995042,7.680638621761354,37.09825786221096,1.3249377807932483,48.83879280673488,182.9647157103936,"ADNOC natural gas production is not available for 2016 or 2017 from any known source ,including OGJ, OPEC. EIA. CAI assumes that growth in gas production parallels planned growth in crude oil production (which, by the way, excludes condensate production, a large component of ADNOC's liquids production. Forty percent of gas production is assumed to be reinjected."
2019,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2612.589429,Bcf/yr,139.60045040182877,0.2422855161011995,3.983320861641921,7.994134077584177,38.61247247788042,1.3790168742100153,50.83221293320772,190.43266333503647,No source as data is interpolated
2020,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2689.430294,Bcf/yr,143.7063459720225,0.2494115606405872,4.100477356720547,8.229255666391442,39.74813342485312,1.4195761937447542,52.327278008605695,196.0336239806282,No source as data is interpolated
2021,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2689.430294,Bcf/yr,143.7063459720225,0.2494115606405872,4.100477356720547,8.229255666391442,39.74813342485312,1.4195761937447542,52.327278008605695,196.0336239806282,No source as data is interpolated
2022,Abu Dhabi National Oil Company,State-owned Entity,Abu Dhabi National Oil Company,Natural Gas,2689.430294,Bcf/yr,143.7063459720225,0.2494115606405872,4.100477356720547,8.229255666391442,39.74813342485312,1.4195761937447542,52.327278008605695,196.0336239806282,No source as data is interpolated
1962,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1.84325,Bcf/yr,0.0984917596875,0.0001709387524102,0.0028103367856892,0.0056400701445642,0.0272421066643047,0.000972932380868,0.0358634523469684,0.1343552120344684,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1963,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,4.4238,Bcf/yr,0.23638022325,0.0004102530057846,0.0067448082856541,0.0135361683469541,0.0653810559943314,0.0023350377140832,0.0860722856327243,0.3224525088827243,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1964,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,17.326549999999997,Bcf/yr,0.9258225410625,0.0016068242726565,0.0264171657854785,0.0530166593589038,0.2560758026444648,0.0091455643801594,0.3371164520615038,1.2629389931240036,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1965,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,25.0682,Bcf/yr,1.33948793175,0.0023247670327797,0.0382205802853732,0.0767049539660736,0.3704926506345448,0.0132318803798051,0.4877429519187715,1.827230883668772,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1966,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,29.86065,Bcf/yr,1.5955665069375,0.0027692077890464,0.0455274559281652,0.0913691363419406,0.4413221279617372,0.015761504570062,0.5809879280208895,2.1765544349583896,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1967,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,29.86065,Bcf/yr,1.5955665069375,0.0027692077890464,0.0455274559281652,0.0913691363419406,0.4413221279617372,0.015761504570062,0.5809879280208895,2.1765544349583896,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1968,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,39.0769,Bcf/yr,2.088025305375,0.0036239015510978,0.0595791398566112,0.1195694870647618,0.577532661283261,0.0206261664744021,0.760305189755732,2.848330495130732,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1969,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,47.1872,Bcf/yr,2.521389048,0.004376032061703,0.0719446217136438,0.1443857957008445,0.697397930606202,0.0249070689502215,0.9181043800823934,3.4394934280823937,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1970,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,53.8229,Bcf/yr,2.8759593828750005,0.00499141157038,0.0820618341421249,0.1646900482212758,0.7954695145976993,0.0284096255213464,1.04721280853148,3.923172191406481,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1971,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,72.9927,Bcf/yr,3.900273683625,0.0067691745954469,0.1112893367132927,0.2233467777247438,1.0787874239064688,0.0385281222823738,1.4201927129399523,5.320466396564951,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1972,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,79.6284,Bcf/yr,4.2548440185,0.0073845541041239,0.1214065491417739,0.2436510302451751,1.176859007897966,0.0420306788534987,1.5493011413890387,5.804145159889039,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1973,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,97.3236,Bcf/yr,5.2003649115,0.0090255661272625,0.1483857822843903,0.2977957036329918,1.4383832318752918,0.0513708297098318,1.8935902839199363,7.0939551954199365,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1974,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,97.3236,Bcf/yr,5.2003649115,0.0090255661272625,0.1483857822843903,0.2977957036329918,1.4383832318752918,0.0513708297098318,1.8935902839199363,7.0939551954199365,"Abu Dhabi National Oil Company Annual Report 1975, pp. 35-37 (data for 1962-1975 [offshore production] and 1964-1975 [onshore production] are estimated from bar charts."
1975,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,85.89545,Bcf/yr,4.5897160014375,0.0079657458623188,0.1309616942131172,0.2628272687366935,1.2694821705566022,0.04533864894845,1.6712368793687318,6.260952880806233,"Abu Dhabi National Oil Company Annual Report 1976, p. 12."
1976,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,97.76597999999998,Bcf/yr,5.224002933824999,0.009066591427841,0.1490602631129557,0.2991493204676872,1.4449213374747245,0.0516043334812401,1.9021975124832085,7.126200446308207,"Abu Dhabi National Oil Company Annual Report 1976, p. 12."
1977,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,145.124,Bcf/yr,7.754519535,0.0134584649422427,0.2212653279188178,0.4440577998967805,2.1448438831143712,0.0766015672540846,2.8236254758722126,10.578145010872213,Abu Dhabi National Oil Company Annual Report
1978,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,190.968,Bcf/yr,10.20413637,0.0177099317348626,0.2911620210440782,0.5843336038883189,2.822390139953318,0.1007996478554756,3.7155956966205776,13.91973206662058,Abu Dhabi National Oil Company Annual Report
1979,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,202.0494,Bcf/yr,10.796257127249998,0.0187375952047985,0.3080574318982414,0.618241035490095,2.9861664485331767,0.1066488017333277,3.931202511126312,14.72745963837631,"ADNOC Annual Report 1980, p. 27-28 (sum of major and minor fields)."
1980,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,254.2225,Bcf/yr,13.584061509375,0.0235760081294569,0.3876038754915912,0.7778829417205927,3.7572529290471826,0.1341876046088279,4.946315754388823,18.530377263763825,"ADNOC Annual Report 1980, p. 27-28 (sum of major and minor fields)."
1981,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,312.732,Bcf/yr,16.710443505,0.0290020441713118,0.4768111995997061,0.956913287101513,4.621987522767589,0.1650709829559853,6.08471405364012,22.79515755864012,"ADNOC Annual Report 1984, p. 41. Includes data on total production and utilization rates for 1980-1984."
1982,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,329.29935,Bcf/yr,17.5956991430625,0.0305384619875301,0.502070840530881,1.0076069076682002,4.8668428141523,0.1738158147911535,6.407059024338912,24.002758167401407,"ADNOC Annual Report 1984, p. 41. Includes data on total production and utilization rates for 1980-1984."
1983,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,310.9508,Bcf/yr,16.6152673095,0.028836859792745,0.4740954682107628,0.9514630807043892,4.5956624771197045,0.1641308027542751,6.050057885827601,22.6653251953276,"ADNOC Annual Report 1984, p. 41. Includes data on total production and utilization rates for 1980-1984."
1984,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,355.2764,Bcf/yr,18.9837503385,0.0329475136724884,0.5416771116274159,1.0870928071114947,5.250767711439146,0.1875274182656838,6.912485143850546,25.896235482350548,"ADNOC Annual Report 1984, p. 41. Includes data on total production and utilization rates for 1980-1984."
1985,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,385.586,Bcf/yr,20.603305927500003,0.0357583560487556,0.587889065426155,1.1798356635084482,5.698725045578526,0.2035258944849473,7.502208130561884,28.10551405806189,ADNOC Annual Report 1985
1986,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,397.3098,Bcf/yr,21.22975252575,0.0368455942126007,0.6057639203878059,1.215708743319023,5.871995632916638,0.2097141297470227,7.730313890836067,28.960066416586063,No source as data is interpolated
1987,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,408.6978,Bcf/yr,21.83825607075,0.0379016910591751,0.623126793202361,1.2505543252022713,6.040303301812937,0.2157251179218906,7.951886111276744,29.79014218202674,No source as data is interpolated
1988,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,419.75,Bcf/yr,22.4288165625,0.0389266465884787,0.6399776838698203,1.2843724091581932,6.203648052267423,0.2215588590095507,8.166924791883913,30.595741354383915,"ADNOC Annual Report 1992, p. 17, shows gas production (estimated from a  bar chart) and utilization rates for 1988-1992."
1989,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,461.506,Bcf/yr,24.6599962275,0.0427990016925848,0.7036415508565225,1.412139542730104,6.820776171553852,0.2435991489840661,8.979356266833062,33.639352494333075,"ADNOC Annual Report 1992, p. 17, shows gas production (estimated from a  bar chart) and utilization rates for 1988-1992."
1990,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,487.8882,Bcf/yr,26.06969610675,0.0452456260538154,0.7438655395435751,1.4928651407596294,7.210688937830277,0.2575246049225098,9.492665244187297,35.562361350937294,"ADNOC Annual Report 1992, p. 17, shows gas production (estimated from a  bar chart) and utilization rates for 1988-1992."
1991,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,554.65254,Bcf/yr,29.637165159225,0.0514371969124051,0.8456587204329075,1.697154065623612,8.19742501359423,0.2927651790569367,10.791674996563154,40.428840155788166,"ADNOC Annual Report 1992, p. 17, shows gas production (estimated from a  bar chart) and utilization rates for 1988-1992."
1992,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,586.6791,Bcf/yr,31.348464359625,0.0544072661978482,0.8944884612098408,1.7951505635968088,8.670757965505667,0.3096699273394881,11.414804256510164,42.76326861613516,"ADNOC Annual Report 1992, p. 17, shows gas production (estimated from a  bar chart) and utilization rates for 1988-1992."
1993,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,599.17451,Bcf/yr,32.0161409737125,0.0555660616929003,0.9135397621051448,1.8333846549490889,8.855432476306818,0.3162654455823863,11.657922955053952,43.67406392876645,"ADNOC Annual Report 1994,"
1994,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,696.5514,Bcf/yr,37.21935336975,0.0645965698118167,1.0620067937302695,2.1313434180357644,10.29460330176092,0.3676644036343185,13.552550083338769,50.77190345308877,"ADNOC Annual Report 1994,"
1995,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,621.3687,Bcf/yr,33.202059773625,0.0576242996689517,0.947378443014178,1.901295566871935,9.183449018451315,0.327980322087547,12.08974732800638,45.29180710163139,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
1996,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,666.9343695,Bcf/yr,35.636804366270624,0.0618499547331421,1.0168507756659653,2.0407197210366066,9.8568817208788,0.3520314900313857,12.976302172314513,48.613106538585136,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
